Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
124383,291,784,487,0,1
124449,278,786,487,0,1
124514,288,789,487,0,1
124580,287,790,487,0,1
124679,280,792,487,0,1
124745,289,793,487,0,1
124811,289,795,487,0,1
124877,290,798,487,0,1
124942,288,800,487,0,1
125042,293,801,487,0,1
125108,283,803,487,0,1
125174,283,805,487,0,1
125240,287,807,487,0,1
125305,297,809,487,0,1
125405,298,811,487,0,1
125477,280,811,487,0,1
125552,283,813,487,0,1
125628,283,813,487,0,1
125704,288,813,487,0,1
125778,285,813,487,0,1
125846,291,815,487,0,1
125912,296,817,487,0,1
125978,295,818,487,0,1
126043,289,820,487,0,1
126109,299,822,487,0,1
126175,278,822,487,0,1
126274,282,823,487,0,1
126344,287,826,487,0,1
126410,290,828,487,0,1
126475,298,831,487,0,1
126541,281,834,487,0,1
126640,287,836,487,0,1
126706,299,836,487,0,1
126771,303,837,487,0,1
126837,294,838,487,0,1
126903,289,840,487,0,1
127003,281,844,487,0,1
127069,280,846,487,0,1
127135,287,848,487,0,1
127201,291,850,487,0,1
127267,290,853,487,0,1
127371,286,855,487,0,1
127447,290,856,487,0,1
127513,292,856,487,0,1
127579,292,859,487,0,1
127644,287,861,487,0,1
127710,292,864,487,0,1
127776,278,867,487,0,1
127875,289,867,487,0,1
127941,283,867,487,0,1
128006,286,869,487,0,1
128072,288,872,487,0,1
128138,28,873,487,0,1
128237,284,874,487,0,1
128303,280,876,487,0,1
128368,275,877,487,0,1
128434,286,880,487,0,1
128501,286,883,487,0,1
128534,286,883,487,0,0
128600,295,885,487,0,1
128665,275,891,487,0,1
128732,285,892,487,0,1
128798,287,894,487,0,1
128864,290,897,487,0,1
128963,286,899,487,0,1
129029,280,900,487,0,1
129095,285,901,487,0,1
129161,289,902,487,0,1
129260,290,904,487,0,1
129326,288,906,487,0,1
129393,285,907,487,0,1
129459,295,910,487,0,1
129525,292,912,487,0,1
129590,292,912,487,0,1
129689,292,912,487,0,1
129755,296,914,487,0,1
129821,293,916,487,0,1
129887,283,918,487,0,1
129953,283,920,487,0,1
129986,283,920,487,0,0
130051,287,922,487,0,1
130117,277,922,487,0,1
130183,281,925,487,0,1
130248,280,927,487,0,1
130347,289,928,487,0,1
130413,288,931,487,0,1
130478,282,933,487,0,1
130544,281,933,487,0,1
130610,281,934,4,0,1
130643,281,934,4,0,1
130709,275,937,487,0,1
130775,291,937,487,0,1
130841,290,938,487,0,1
130906,290,941,487,0,1
